model,config,window,arm,roi,total_tokens,n_holdings
gpt-5.1,20->10,2024-10,A1_single_prompt,31.33236642152251,31695,10
gpt-5.1,20->10,2024-10,A2_sequential_cut,31.201460796320863,22068,10
gpt-5.1,20->10,2024-10,A3_sequential_nocut,31.49679532439724,22014,10
gpt-5.1,20->10,2024-10,A4_reports_scrambled,34.54643950681091,21836,10
gpt-5.1,20->10,2024-11,A1_single_prompt,37.61150967199522,31449,10
gpt-5.1,20->10,2024-11,A2_sequential_cut,40.024508389425954,21818,10
gpt-5.1,20->10,2024-11,A3_sequential_nocut,39.88945218654262,21835,10
gpt-5.1,20->10,2024-11,A4_reports_scrambled,26.612061565399948,21520,10
gpt-5.1,20->10,2024-12,A1_single_prompt,34.727638668345826,32626,10
gpt-5.1,20->10,2024-12,A2_sequential_cut,36.86170656709133,22829,10
gpt-5.1,20->10,2024-12,A3_sequential_nocut,36.56222412512687,23138,10
gpt-5.1,20->10,2024-12,A4_reports_scrambled,34.06594070948719,22795,10
gpt-5.1,20->10,2025-01,A1_single_prompt,37.307298775181934,31929,10
gpt-5.1,20->10,2025-01,A2_sequential_cut,42.15242022449744,21839,10
gpt-5.1,20->10,2025-01,A3_sequential_nocut,37.07749958415008,21716,10
gpt-5.1,20->10,2025-01,A4_reports_scrambled,28.3299813519153,21615,10
gpt-5.1,20->10,2025-02,A1_single_prompt,57.214027667625004,31817,10
gpt-5.1,20->10,2025-02,A2_sequential_cut,55.377611655135894,22160,10
gpt-5.1,20->10,2025-02,A3_sequential_nocut,73.26471843797128,22081,10
gpt-5.1,20->10,2025-02,A4_reports_scrambled,38.735930830348465,22148,10
gpt-5.1,20->10,2025-03,A1_single_prompt,54.63525525735997,30536,10
gpt-5.1,20->10,2025-03,A2_sequential_cut,50.845990024618835,21507,10
gpt-5.1,20->10,2025-03,A3_sequential_nocut,54.425345564121706,21184,10
gpt-5.1,20->10,2025-03,A4_reports_scrambled,46.78624530981122,21336,10
gpt-5.1,20->10,2025-04,A1_single_prompt,50.19345688330533,27538,10
