file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0001_gpt-4o_T0.3_12mo_202406_20260614_232949.json,True,True,True,True,GPT-4o,0.3,202406,12,Ranked,6.932964676341635,6.0,gpt-4o,
perm_0001_gpt-4o_T0.3_12mo_202406_20260614_233007.json,True,True,True,True,GPT-4o,0.3,202406,12,Ranked,7.741363467814226,6.0,gpt-4o,
perm_0001_gpt-4o_T0.3_12mo_202406_20260614_233022.json,True,True,True,True,GPT-4o,0.3,202406,12,Ranked,10.147590731814944,5.0,gpt-4o,
perm_0002_gpt-4o_T0.3_12mo_202406_20260614_233052.json,True,True,True,True,GPT-4o,0.3,202406,12,30→15,9.220645989061085,15.0,gpt-4o,
perm_0002_gpt-4o_T0.3_12mo_202406_20260614_233133.json,True,True,True,True,GPT-4o,0.3,202406,12,30→15,11.10099986614594,15.0,gpt-4o,
perm_0002_gpt-4o_T0.3_12mo_202406_20260614_233238.json,True,True,True,True,GPT-4o,0.3,202406,12,30→15,17.150968560179663,15.0,gpt-4o,
perm_0003_gpt-4o_T0.3_12mo_202406_20260614_233310.json,True,True,True,True,GPT-4o,0.3,202406,12,30→10,56.62400383053496,10.0,gpt-4o,
perm_0003_gpt-4o_T0.3_12mo_202406_20260614_233411.json,True,True,True,True,GPT-4o,0.3,202406,12,30→10,5.193888127855371,10.0,gpt-4o,
perm_0003_gpt-4o_T0.3_12mo_202406_20260614_233445.json,True,True,True,True,GPT-4o,0.3,202406,12,30→10,15.766311840998368,10.0,gpt-4o,
perm_0004_gpt-4o-mini_T0.3_6mo_202406_20260222_174914.json,True,True,True,True,GPT-4o-mini,0.3,202406,6,20→5,13.876433823552741,5.0,gpt-4o-mini,
perm_0004_gpt-4o-mini_T0.3_6mo_202406_20260222_183929.json,True,True,True,True,GPT-4o-mini,0.3,202406,6,20→5,21.558305383392852,5.0,gpt-4o-mini,
perm_0004_gpt-4o_T0.3_12mo_202406_20260616_131104.json,True,True,True,True,GPT-4o,0.3,202406,12,30→5,17.163691391548547,5.0,gpt-4o,
perm_0005_gpt-4o-mini_T0.3_6mo_202406_20260222_175126.json,True,True,True,True,GPT-4o-mini,0.3,202406,6,10→5,13.611386562442476,5.0,gpt-4o-mini,
perm_0005_gpt-4o-mini_T0.3_6mo_202406_20260222_184145.json,True,True,True,True,GPT-4o-mini,0.3,202406,6,10→5,10.468057101675422,5.0,gpt-4o-mini,
perm_0006_gpt-4o-mini_T0.3_6mo_202406_20260222_175233.json,True,True,True,True,GPT-4o-mini,0.3,202406,6,5→3,5.408488920691125,3.0,gpt-4o-mini,
