file,window,freq,cfg,arm,period,entry,exit,ret_new,ret_hold,rebalance_alpha,cash_w_new,cash_w_hold,cash_drag_pp,n_dropped,n_added,n_kept,dropped_fwd,added_fwd,dropped_names,added_names
psperm_0393_tech_gpt-51_2x_20-10_202410_20260803_182126_884612_fbon_scr_wt_hold_inc_w1.json,2024-10,2,20-10,ON,1,2025-04-01,2025-10-01,34.441,34.441,0.0,4.17,4.17,-0.0,0,0,8,,,,
psperm_0393_tech_gpt-51_2x_20-10_202410_20260803_182128_093423_fbon_scr_wt_hold_inc_w0.json,2024-10,2,20-10,ON,1,2025-04-01,2025-10-01,43.34,43.34,0.0,3.11,3.11,-0.0,0,0,9,,,,
psperm_0393_tech_gpt-51_2x_20-10_202410_20260803_182129_019922_fbon_scr_wt_hold_inc_w2.json,2024-10,2,20-10,ON,1,2025-04-01,2025-10-01,45.91,40.833,5.077,0.0,5.2,2.751,2,2,6,57.79,61.28,"QCOM,MU","TSM,AMAT"
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182205_238089_fbon_scr_wt_hold_inc_w3.json,2024-10,4,20-10,ON,1,2024-12-31,2025-04-01,-12.187,-12.038,-0.148,18.08,1.82,1.499,3,0,6,3.78,,"TXN,SNPS,GF",
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182205_238089_fbon_scr_wt_hold_inc_w3.json,2024-10,4,20-10,ON,2,2025-04-01,2025-07-02,31.014,17.819,13.195,0.0,20.59,5.968,1,2,5,-4.69,38.13,AAPL,"TSM,MU"
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182205_238089_fbon_scr_wt_hold_inc_w3.json,2024-10,4,20-10,ON,3,2025-07-02,2025-10-01,13.17,22.026,-8.856,0.0,0.0,-0.0,2,2,5,36.82,10.49,"TSM,MU","AAPL,META"
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182246_103089_fbon_scr_wt_hold_inc_w1.json,2024-10,4,20-10,ON,1,2024-12-31,2025-04-01,-11.533,-12.255,0.722,9.8,2.71,0.825,1,0,8,-10.18,,SNPS,
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182246_103089_fbon_scr_wt_hold_inc_w1.json,2024-10,4,20-10,ON,2,2025-04-01,2025-07-02,18.533,22.738,-4.205,25.13,11.08,-3.797,2,0,6,30.28,,"TXN,NFLX",
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182246_103089_fbon_scr_wt_hold_inc_w1.json,2024-10,4,20-10,ON,3,2025-07-02,2025-10-01,12.341,12.341,0.0,21.2,21.2,-0.0,0,0,6,,,,
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182252_236633_fbon_scr_wt_hold_inc_w0.json,2024-10,4,20-10,ON,1,2024-12-31,2025-04-01,-14.363,-11.35,-3.014,0.0,7.58,-1.006,1,1,7,-5.84,-27.09,ADI,AVGO
psperm_0400_tech_gpt-51_4x_20-10_202410_20260803_182252_236633_fbon_scr_wt_hold_inc_w0.json,2024-10,4,20-10,ON,2,2025-04-01,2025-07-02,23.203,23.203,0.0,0.0,0.0,-0.0,0,0,8,,,,
