file,arm,screened_news,window_start,freq,period,stage,entry,exit,y,pool,actual_ret_pct,pool_priced,null_mean,null_median,null_sd,percentile,z,beat_median
psperm_0393_tech_gpt-51_2x_20-10_202410_20260731_164331_558118_fboff_scr_wt_w2.json,OFF,True,2024-10-01,2,0,initial,2024-10-01,2025-04-01,9,20,-7.196,20,-5.172,-5.136,3.595,29.58,-0.563,False
psperm_0393_tech_gpt-51_2x_20-10_202410_20260731_164331_558118_fboff_scr_wt_w2.json,OFF,True,2024-10-01,2,1,rebalance,2025-04-01,2025-10-01,9,19,38.096,19,33.002,32.931,9.48,69.66,0.537,True
psperm_0393_tech_gpt-51_2x_20-10_202410_20260731_164333_063739_fboff_scr_wt_w0.json,OFF,True,2024-10-01,2,0,initial,2024-10-01,2025-04-01,9,19,-4.44,19,-5.714,-5.705,2.669,66.61,0.477,True
psperm_0393_tech_gpt-51_2x_20-10_202410_20260731_164333_063739_fboff_scr_wt_w0.json,OFF,True,2024-10-01,2,1,rebalance,2025-04-01,2025-10-01,9,19,24.767,19,33.477,33.478,8.665,16.24,-1.005,False
psperm_0393_tech_gpt-51_2x_20-10_202410_20260731_164334_685957_fboff_scr_wt_w1.json,OFF,True,2024-10-01,2,0,initial,2024-10-01,2025-04-01,9,20,-7.666,20,-7.615,-7.608,2.808,49.33,-0.018,False
psperm_0393_tech_gpt-51_2x_20-10_202410_20260731_164334_685957_fboff_scr_wt_w1.json,OFF,True,2024-10-01,2,1,rebalance,2025-04-01,2025-10-01,9,20,53.529,20,41.388,41.39,8.975,90.65,1.353,True
psperm_0400_tech_gpt-51_4x_20-10_202410_20260731_222941_542868_fboff_scr_wt_w1.json,OFF,True,2024-10-01,4,0,initial,2024-10-01,2024-12-31,9,19,9.058,19,8.189,8.122,4.605,57.56,0.189,True
psperm_0400_tech_gpt-51_4x_20-10_202410_20260731_222941_542868_fboff_scr_wt_w1.json,OFF,True,2024-10-01,4,1,rebalance,2024-12-31,2025-04-01,9,19,-10.331,19,-9.174,-9.172,3.022,35.69,-0.383,False
psperm_0400_tech_gpt-51_4x_20-10_202410_20260731_222941_542868_fboff_scr_wt_w1.json,OFF,True,2024-10-01,4,2,rebalance,2025-04-01,2025-07-02,9,19,19.592,19,25.174,25.225,4.566,11.71,-1.223,False
psperm_0400_tech_gpt-51_4x_20-10_202410_20260731_222941_542868_fboff_scr_wt_w1.json,OFF,True,2024-10-01,4,3,rebalance,2025-07-02,2025-10-01,9,18,19.499,18,11.91,11.912,5.279,92.18,1.438,True
